rowid,kepid,tce_planet_num,tce_period,tce_time0bk,tce_duration,av_training_set,campaign
53,202064214,1,0.116666665,1939.164554,0.25, J,0
54,202064219,1,0.106253307,1939.123364,0.25, J,0
55,202064253,1,10.5723602,1944.995493,4.7583151, E,0
56,202064532,1,0.631298855,1939.467765,3.937960139, J,0
57,202064659,1,15.88353596,1941.1538,1.809125358, J,0
58,202064729,1,8.557396178,1941.168127,1.408999905, J,0
59,202064941,1,11.63244724,1950.077179,3.877465352, J,0
60,202064966,1,15.9079912,1941.149655,1.451175333, J,0
61,202065116,1,15.90842116,1941.149754,1.438495605, J,0
62,202065120,1,6.868711761,1944.035886,1.435212644, J,0
63,202065121,1,14.45916349,1941.151419,1.680632791, J,0
64,202065126,1,1.965079904,1940.079958,0.457574018, J,0
65,202065135,1,15.90844565,1941.149106,1.370347376, J,0
66,202065247,1,0.102223732,1939.146977,0.058880869, J,0
67,202065269,1,10.26702998,1947.371533,2.998987131, J,0
68,202065323,1,12.03154221,1943.785535,1.176108462, J,0
69,202065332,1,15.8840566,1941.155119,1.803246315, J,0
70,202065543,1,0.723298446,1939.352036,5.0981378, E,0
71,202065811,1,0.166693575,1939.209974,0.25, J,0
72,202065819,1,5.739207675,1943.263288,4.3426243, E,0
73,202065829,1,1.039023914,1940.044919,6.902661564, J,0
74,202065858,1,0.163748191,1939.230918,0.300579391, J,0
75,202065930,1,0.12118399,1939.128379,0.25, J,0
76,202065953,1,14.45715025,1941.14534,1.60335889, J,0
77,202065969,1,0.18863279,1939.260756,0.25, J,0
78,202065991,1,12.58839441,1949.629496,1.602980607, J,0
79,202066073,1,8.557506408,1941.170578,1.361075959, J,0
80,202066087,1,15.19485804,1942.34919,1.294415321, J,0
81,202066098,1,0.123719057,1939.183006,0.25, J,0
82,202066102,1,0.134506104,1939.153749,0.25, J,0
83,202066150,1,0.168449619,1939.158472,0.670513527, J,0
84,202066192,1,3.292394819,1941.825966,1.7303757, C,0
85,202066208,1,0.122704171,1939.179224,0.070677602, J,0
86,202066212,1,3.080922157,1939.400602,5.2797194, E,0
87,202066228,1,0.102106601,1939.171448,0.058813402, J,0
88,202066242,1,0.678974137,1939.714748,4.242788303, J,0
89,202066258,1,0.128206196,1939.147831,0.25, J,0
90,202066266,1,0.519252332,1939.451087,1.875608358, J,0
91,202066437,1,0.102106601,1939.110188,0.058813402, J,0
92,202066512,1,0.240257308,1939.125777,0.25, J,0
93,202066537,1,6.901637515,1942.104735,3.9161059, E,0
94,202066596,1,0.116701801,1939.153471,0.25, J,0
95,202066770,1,12.75107158,1941.11377,1.743996012, J,0
96,202066811,1,1.695809821,1940.592887,4.4242826, E,0
97,202066832,1,12.75263437,1947.248357,0.25, J,0
98,202066934,1,0.129004958,1939.117549,0.25, J,0
99,202066939,1,0.109946637,1939.208803,0.25, J,0
100,202066983,1,0.102989393,1939.17034,0.25, J,0
101,202066986,1,0.146692822,1939.146098,0.25, J,0
102,202067015,1,15.90843814,1941.150029,1.276864942, J,0
103,202067017,1,0.24489277,1939.188832,1.558262483, J,0
104,202067035,1,0.100800671,1939.145398,0.25, J,0
105,202067064,1,0.13595802,1939.154717,0.25, J,0
106,202067092,1,0.174822907,1939.239692,0.775079117, J,0
107,202067167,1,0.108410716,1939.154332,0.25, J,0
108,202067195,1,0.138563258,1939.223336,0.42665596, J,0
109,202067235,1,0.155470357,1939.143325,0.25, J,0
110,202067239,1,0.136218374,1939.244153,0.338222442, J,0
111,202067259,1,0.150111931,1939.239625,0.25, J,0
112,202067279,1,0.155010009,1939.221025,0.25, J,0
113,202067285,1,5.141768401,1941.142639,1.03346738, J,0
114,202067291,1,0.169539153,1939.146241,0.66412895, J,0
115,202067297,1,0.100571383,1939.193613,0.25, J,0
116,202067300,1,0.111741662,1939.195483,0.25, J,0
117,202067306,1,15.88393779,1941.154622,1.631331215, J,0
118,202067310,1,0.126792641,1939.21793,0.367694151, J,0
119,202067366,1,0.11190748,1939.14441,0.25, J,0
120,202067367,1,0.170577559,1939.187564,0.676569221, J,0
121,202067377,1,0.131719979,1939.183588,0.25, J,0
122,202067476,1,5.905737148,1943.731584,0.781437028, J,0
123,202067496,1,15.88403103,1941.157548,1.716048786, J,0
124,202067513,1,15.88402553,1941.157021,1.738832628, J,0
125,202067563,1,15.88702336,1941.148425,1.271360161, J,0
126,202067576,1,12.0763018,1949.640634,0.853054992, J,0
127,202067585,1,15.68980605,1941.136426,1.960371272, J,0
128,202067631,1,0.245053858,1939.157205,0.141151022, J,0
129,202067668,1,0.245460004,1939.127049,0.141384962, J,0
130,202067741,1,16.38315847,1941.166432,1.22952697, J,0
131,202067777,1,15.88384467,1941.157129,1.828274325, J,0
132,202067880,1,12.75170349,1947.233435,1.248720314, J,0
133,202067908,1,14.45898374,1941.136523,2.050737594, J,0
134,202067909,1,15.6640994,1941.145513,1.482731323, J,0
135,202068113,1,0.285279591,1939.286391,0.8822381, R,0
136,202068178,1,15.88397916,1941.154954,1.609150586, J,0
137,202068246,1,15.90857312,1941.14982,1.285849198, J,0
138,202068336,1,0.656443889,1939.747994,0.390043606, J,0
139,202068372,1,9.537952503,1941.146215,1.175510425, J,0
140,202068388,1,0.244895503,1939.17076,0.14105981, J,0
141,202068430,1,7.848703881,1941.810968,1.587200344, J,0
142,202068476,1,2.45218466,1939.141331,0.25, J,0
143,202068486,1,2.965364006,1939.672191,9.211852859, J,0
144,202068580,1,0.244895533,1939.185609,0.141059827, J,0
145,202068586,1,0.245271653,1939.141593,0.141276472, J,0
146,202068685,1,0.897486487,1939.139169,5.830955139, J,0
147,202068697,1,0.110173407,1939.192482,0.253537652, J,0
148,202068702,1,1.960545286,1940.390486,0.576939754, J,0
149,202068704,1,0.251194979,1939.355187,0.707466865, J,0
150,202068730,1,0.108157414,1939.113729,0.25, J,0
151,202068742,1,0.244707331,1939.209236,0.140951423, J,0
152,202068773,1,12.95417642,1941.173013,1.45195794, J,0
153,202068775,1,0.146787735,1939.213506,0.300166926, J,0
154,202068790,1,0.112304563,1939.163206,0.267607841, J,0
155,202068811,1,0.11445797,1939.124469,0.25, J,0
156,202068813,1,0.135019827,1939.214548,0.25, J,0
157,202068814,1,0.109047461,1939.133181,0.25, J,0
158,202070186,1,0.102077328,1939.177127,0.058796541, J,0
159,202070201,1,0.122629367,1939.190889,0.070634515, J,0
160,202070264,1,0.224668607,1939.250271,0.129409118, J,0
161,202070321,1,16.38314022,1940.675836,1.070756538, J,0
162,202071289,1,3.045986075,1941.357213,2.0515981, E,0
163,202071322,1,0.404515184,1939.207333,2.172535046, J,0
164,202071401,1,3.239306003,1939.223395,1.1836869, C,0
165,202071440,1,2.271225965,1940.637982,2.9498195, J,0
166,202071522,1,0.104664911,1939.165896,0.25, J,0
167,202071525,1,12.21557787,1949.664081,1.083044903, J,0
168,202071563,1,0.121183755,1939.162531,0.25, J,0
169,202071569,1,12.03130862,1950.192546,0.929338881, J,0
170,202071573,1,0.104423221,1939.136626,0.25, J,0
171,202071608,1,0.116523652,1939.132817,0.25, J,0
172,202071611,1,0.163802555,1939.181487,0.25, J,0
173,202071631,1,3.475529347,1940.530667,8.006131, E,0
174,202071635,1,6.269035883,1942.436274,5.5325935, E,0
175,202071645,1,15.57127294,1954.170999,5.7158034, R,0
176,202071677,1,0.212328242,1939.23099,0.295187383, J,0
177,202071681,1,15.8840627,1941.156514,1.803176307, J,0
178,202071698,1,0.117898753,1939.146509,0.25, J,0
179,202071706,1,0.21201892,1939.229197,0.491255256, J,0
180,202071707,1,1.960114142,1940.403954,0.25, J,0
181,202071729,1,0.101843699,1939.187487,0.25, J,0
182,202071739,1,0.102194305,1939.185924,0.25, J,0
183,202071747,1,0.112105586,1939.154947,0.25, J,0
184,202071748,1,0.129646763,1939.115087,0.149353071, J,0
185,202071753,1,5.828581438,1941.178592,18.71711261, J,0
186,202071771,1,0.10161061,1939.156403,0.25, J,0
187,202071803,1,0.102017849,1939.169972,0.25, J,0
188,202071818,1,0.102341056,1939.131092,0.058948448, J,0
189,202071828,1,4.7018188,1942.015482,12.243437, E,0
190,202071829,1,0.11476524,1939.139656,0.25, J,0
191,202071837,1,0.979344427,1939.235668,3.896672832, J,0
192,202071847,1,0.190569265,1939.242197,0.831352442, J,0
193,202071851,1,0.108537864,1939.206729,0.25, J,0
194,202071861,1,0.154195454,1939.197359,0.25, J,0
195,202071870,1,0.167370793,1939.237623,0.630589835, J,0
196,202071879,1,0.125396306,1939.132713,0.25, J,0
197,202071902,1,14.2693808,1944.314667,2.38055706, J,0
198,202071932,1,0.110497604,1939.157858,0.25, J,0
199,202071938,1,0.13425919,1939.128483,0.279570238, J,0
200,202071939,1,0.112404992,1939.17018,0.252223845, J,0
201,202071993,1,0.182660366,1939.241327,0.723507972, J,0
202,202072042,1,6.126894184,1940.269283,17.99272261, J,0
203,202072044,1,0.130860985,1939.184853,0.351204921, J,0
204,202072051,1,0.153437913,1939.188795,0.25, J,0
205,202072075,1,2.012186518,1940.656406,12.48709188, J,0
206,202072101,1,15.89155248,1941.154628,1.60567881, J,0
207,202072113,1,0.124898182,1939.225033,0.322193843, J,0
208,202072133,1,0.101668926,1939.178293,0.25, J,0
209,202072137,1,2.847416559,1940.986584,10.4565495, J,0
210,202072159,1,0.114936469,1939.174892,0.25, J,0
211,202072163,1,15.8840085,1941.1596,1.867699527, J,0
212,202072177,1,0.142322821,1939.117233,0.25, J,0
213,202072258,1,0.191853008,1939.268026,0.265902634, J,0
214,202072261,1,0.244989112,1939.155607,0.141113729, J,0
215,202072280,1,0.111940603,1939.164244,0.265249614, J,0
216,202072318,1,0.107184393,1939.11034,0.25, J,0
217,202072480,1,0.137079633,1939.221478,0.394379559, J,0
218,202072490,1,0.205563888,1939.204232,0.25, J,0
219,202072497,1,0.143883303,1939.145442,0.248630347, J,0
220,202072500,1,0.736119401,1939.381121,0.25, J,0
221,202072520,1,0.722035677,1939.618735,2.530847324, J,0
222,202072530,1,0.221024534,1939.119291,0.25, J,0
223,202072534,1,0.111610358,1939.195473,0.25, J,0
224,202072538,1,1.957451785,1940.244366,3.822626388, J,0
225,202072543,1,0.18445145,1939.280457,0.497018134, J,0
226,202072544,1,0.164890515,1939.238469,0.739561545, J,0
227,202072567,1,0.262921634,1939.111442,0.795788261, J,0
228,202072578,1,0.12349245,1939.14858,0.326114458, J,0
229,202072596,1,3.978517687,1939.897514,5.0502978, E,0
230,202072602,1,0.184644205,1939.207917,0.392140088, J,0
231,202072626,1,0.110986635,1939.108954,0.25, J,0
232,202072642,1,0.183808968,1939.176829,0.25, J,0
233,202072646,1,0.105455137,1939.12147,0.25, J,0
234,202072652,1,0.111709401,1939.162534,0.281637286, J,0
235,202072659,1,0.226352694,1939.244553,0.25, J,0
236,202072668,1,15.6682279,1941.136225,1.608932673, J,0
237,202072692,1,0.258631825,1939.283815,0.484411877, J,0
238,202072704,1,2.666216058,1941.300079,3.9332065, E,0
239,202072708,1,12.75240472,1947.23395,1.22822753, J,0
240,202072734,1,0.13341956,1939.188272,0.25, J,0
241,202072736,1,0.130009343,1939.188415,0.25, J,0
242,202072753,1,0.101031615,1939.183994,0.25, J,0
243,202072768,1,0.126364176,1939.131924,0.25, J,0
244,202072797,1,11.74889765,1940.670239,1.132039755, J,0
245,202072801,1,0.155881116,1939.126319,0.490863427, J,0
246,202072816,1,0.183552739,1939.207297,0.25, J,0
247,202072836,1,0.134977855,1939.108862,0.25, J,0
248,202072850,1,0.106685996,1939.141679,0.25, J,0
249,202072882,1,0.115176487,1939.145329,0.311719983, J,0
250,202072894,1,0.265520602,1939.127868,0.152939867, J,0
251,202072898,1,1.08947309,1940.074425,2.437026821, J,0
252,202072917,1,16.13112738,1953.63089,6.18791846, J,0
253,202072926,1,0.10768552,1939.21302,0.25, J,0
254,202072947,1,1.84344107,1940.472333,5.7551537, E,0
255,202072958,1,2.011199981,1940.653887,7.0037645, E,0
256,202072965,1,2.141657626,1939.765948,7.092736, E,0
257,202072966,1,2.141652028,1939.765922,7.1389093, E,0
258,202072991,1,2.747910418,1939.825308,10.267037, E,0
259,202072992,1,2.747824176,1939.825199,10.21417, E,0
260,202073040,1,1.060520038,1939.354827,6.3123646, E,0
261,202073043,1,0.142916843,1939.116602,0.082320102, J,0
262,202073074,1,1.121556787,1939.312185,6.2826742, E,0
263,202073152,1,0.723303061,1939.352169,5.1100358, E,0
264,202073185,1,0.612542798,1939.311257,4.8116454, E,0
265,202073203,1,1.197957636,1940.111246,7.8455152, E,0
266,202073345,1,11.74890343,1940.669614,1.188791764, J,0
267,202073402,1,0.278807653,1939.178705,0.837833442, J,0
268,202074400,1,0.163364038,1939.231251,0.094097686, J,0
269,202074402,1,15.88602486,1941.148811,1.364128471, J,0
270,202074408,1,7.165332132,1941.138558,2.342402786, J,0
271,202074543,1,0.102106586,1939.197461,0.058813394, J,0
272,202074545,1,0.102048084,1939.146386,0.058779696, J,0
273,202074719,1,11.78170114,1948.434616,2.33662827, J,0
274,202081079,1,0.143100142,1939.150182,0.082425682, J,0
275,202081089,1,0.102048084,1939.207625,0.058779696, J,0
276,202081111,1,12.20181241,1949.736978,1.751222202, J,0
277,202081144,1,5.371252766,1940.437427,6.745702095, J,0
278,202081199,1,0.102077328,1939.141286,0.117593081, J,0
279,202081233,1,0.102194421,1939.207799,0.058863986, J,0
280,202081251,1,12.7515873,1947.234691,1.183292899, J,0
281,202081335,1,6.142059048,1939.367605,0.490836254, J,0
282,202081617,1,13.01195877,1944.052196,1.656946649, J,0
283,202081630,1,0.122666717,1939.127036,0.070656029, J,0
284,202083032,1,0.102106586,1939.132196,0.058813394, J,0
285,202083049,1,11.47469337,1949.518243,3.339514761, J,0
286,202083222,1,2.459190693,1940.776624,6.4836907, E,0
287,202083476,1,0.102077328,1939.17706,0.058796541, J,0
288,202083738,1,0.102106586,1939.152586,0.058813394, J,0
289,202083828,1,14.5670484,1942.164244,4.5229321, C,0
290,202083917,1,7.829590216,1941.14784,1.267547239, J,0
291,202084019,1,0.102194421,1939.148553,0.058863986, J,0
292,202084312,1,10.0779386,1944.005769,1.45145415, J,0
293,202084342,1,13.01029223,1944.056041,1.503258415, J,0
294,202084441,1,1.05645031,1939.985751,3.991285069, J,0
295,202084447,1,16.51138724,1939.23412,3.526307522, J,0
296,202084539,1,15.88349089,1941.155615,1.752074255, J,0
297,202084566,1,10.53224844,1943.79552,1.146746236, J,0
298,202084588,1,7.744035728,1944.157419,15.04010902, J,0
299,202084748,1,12.24956243,1951.183114,2.645702136, J,0
300,202084851,1,0.248595624,1939.181019,0.525117733, J,0
301,202084890,1,7.164945457,1941.146914,1.061103197, J,0
302,202084993,1,0.245271136,1939.134229,0.372296725, J,0
303,202085141,1,0.734548262,1939.325248,2.19254721, J,0
304,202085303,1,5.885528003,1940.669467,3.783548829, J,0
305,202085460,1,13.58812438,1940.714199,3.346026394, J,0
306,202085597,1,1.814018683,1940.021827,3.4662954, E,0
307,202085660,1,11.76509552,1941.129108,1.153820704, J,0
308,202085701,1,11.7648138,1941.130856,1.143803355, J,0
309,202085721,1,2.599505377,1939.869885,12.32043765, J,0
310,202085724,1,0.122517444,1939.130336,0.070570048, J,0
311,202085738,1,13.7139189,1940.401274,0.485376569, J,0
312,202085807,1,1.828817017,1940.405901,10.92012564, J,0
313,202085841,1,0.14296256,1939.230423,0.082346435, J,0
314,202086047,1,14.45890128,1941.175279,3.59774194, J,0
315,202086050,1,0.101989642,1939.126631,0.058746034, J,0
316,202086077,1,11.76495985,1941.129706,1.029893312, J,0
317,202086157,1,15.88520399,1941.157099,1.68638647, J,0
318,202086291,1,2.435056839,1941.127041,7.6244856, E,0
319,202086337,1,0.102077343,1939.118478,0.058796549, J,0
320,202086356,1,5.14164251,1941.140364,0.60936943, J,0
321,202086374,1,12.75182427,1947.234301,1.176567745, J,0
322,202086510,1,15.90811926,1941.149265,1.232463399, J,0
323,202086609,1,0.111379969,1939.12832,0.25, J,0
324,202086722,1,0.122517377,1939.17845,0.070570009, J,0
325,202086877,1,14.43762399,1941.146768,1.287224797, J,0
326,202086916,1,0.162599628,1939.120975,0.558297989, J,0
327,202086946,1,0.156498781,1939.253601,0.563511224, J,0
328,202086951,1,15.88774355,1941.149041,1.206844504, J,0
329,202086968,1,1.850170038,1939.173837,3.2968221, E,0
330,202086985,1,15.88402659,1941.156536,1.714022694, J,0
331,202086996,1,15.88400891,1941.156282,1.75514689, J,0
332,202087057,1,7.577803301,1946.514773,1.132735494, J,0
333,202087116,1,0.484888426,1939.555839,2.810988604, J,0
334,202087130,1,8.305230004,1941.141536,0.392321032, J,0
335,202087156,1,0.947801581,1939.579286,2.7436143, E,0
336,202087160,1,0.244959354,1939.126141,0.141096588, J,0
337,202087450,1,9.637609874,1941.191707,1.425576549, J,0
338,202087613,1,0.102077335,1939.136942,0.058796545, J,0
339,202087861,1,10.55964236,1949.633572,1.428471032, J,0
340,202087875,1,2.458144576,1940.29366,9.597837778, J,0
341,202087876,1,6.680210248,1943.317027,1.424420332, J,0
342,202087891,1,0.245364111,1939.136919,0.25, J,0
343,202087955,1,11.74875664,1940.679224,0.705299359, J,0
344,202088003,1,14.39434581,1941.320228,5.91831346, J,0
345,202088011,1,14.58906254,1941.151601,2.369103171, J,0
346,202088034,1,7.829643569,1941.145449,1.124560672, J,0
347,202088080,1,15.89176868,1941.146402,1.167732178, J,0
348,202088178,1,1.185505734,1940.024109,6.3543112, E,0
349,202088185,1,6.852750692,1941.149687,1.343358195, J,0
350,202088212,1,2.619454712,1939.306642,2.7057144, C,0
351,202088297,1,1.232214104,1940.049612,5.4245826, J,0
352,202088424,1,0.160710027,1939.115348,0.567038029, J,0
353,202088460,1,9.791322332,1940.710564,3.236958584, J,0
354,202088766,1,15.88369901,1941.155351,1.665926159, J,0
355,202088780,1,0.118218422,1939.212978,0.263978594, J,0
356,202088919,1,16.35755694,1941.170779,1.556478965, J,0
357,202088968,1,15.8841038,1941.159428,0.579301811, J,0
358,202088984,1,2.039293822,1941.035558,7.330264326, J,0
359,202089006,1,11.05728617,1947.978317,0.371741522, J,0
360,202089009,1,0.108031691,1939.134509,0.25, J,0
361,202089141,1,0.102048084,1939.12613,0.058779696, J,0
362,202089201,1,0.122517377,1939.131964,0.070570009, J,0
363,202089256,1,12.03124521,1949.673903,1.669640653, J,0
364,202089318,1,6.380132613,1943.282367,1.055321747, J,0
365,202089411,1,0.490598416,1939.388785,0.28049727, J,0
366,202089512,1,12.03126808,1943.778812,1.291432919, J,0
367,202089657,1,1.314022478,1939.780947,1.7252682, C,0
368,202089664,1,0.102048084,1939.148426,0.058779696, J,0
369,202089697,1,15.886672,1941.156348,1.660142145, J,0
370,202089732,1,0.122629359,1939.230908,0.070634511, J,0
371,202089736,1,15.89168173,1941.155827,1.654056416, J,0
372,202089744,1,1.219949895,1939.580704,4.009533264, J,0
373,202089756,1,14.4587333,1941.152856,1.657355969, J,0
374,202089769,1,0.10222514,1939.14286,0.05888168, J,0
375,202089776,1,11.76487674,1941.12994,1.073888322, J,0
376,202089831,1,2.285429592,1940.767753,9.594516701, J,0
377,202089895,1,15.89028308,1941.156545,1.670102383, J,0
378,202089962,1,2.011157146,1940.653978,7.0110271, E,0
379,202090093,1,0.122704096,1939.198211,0.070677559, J,0
380,202090099,1,0.112604636,1939.158775,0.25, J,0
381,202090117,1,13.72888504,1940.384597,1.459982236, J,0
382,202090120,1,0.102223739,1939.167436,0.058880874, J,0
383,202090152,1,4.804523306,1940.449315,2.326793, C,0
384,202090238,1,15.89003903,1941.148701,1.242159494, J,0
385,202090258,1,1.125923861,1939.132796,4.82700593, J,0
386,202090290,1,0.102106586,1939.191424,0.058813394, J,0
387,202090394,1,0.12248008,1939.127108,0.070548526, J,0
388,202090476,1,0.102223724,1939.187461,0.058880865, J,0
389,202090542,1,0.14296256,1939.128561,0.082346435, J,0
390,202090571,1,2.264133846,1941.13809,10.83867902, J,0
391,202090588,1,0.127458267,1939.138285,0.25, J,0
392,202090631,1,4.899393653,1941.136175,0.620174455, J,0
393,202090668,1,2.99129691,1939.530305,14.44636415, J,0
394,202090723,1,6.148424634,1944.668799,4.3810042, E,0
395,202090748,1,0.325949556,1939.187994,0.959542881, J,0
396,202090758,1,1.957570165,1940.276368,5.098825999, J,0
397,202090790,1,15.88408634,1941.154646,1.59100955, J,0
398,202090802,1,0.102077328,1939.197454,0.058796541, J,0
399,202090921,1,2.204618062,1941.132602,0.560255048, J,0
400,202090941,1,0.102077328,1939.168912,0.058796541, J,0
401,202090963,1,14.45654641,1941.174444,5.13113313, J,0
402,202091068,1,15.883831,1941.154541,1.630064469, J,0
403,202091231,1,11.76464355,1941.129798,1.000621712, J,0
404,202091282,1,0.102106586,1939.130152,0.058813394, J,0
405,202091388,1,6.479677043,1940.383667,3.0720057, C,0
406,202091392,1,15.9080406,1941.15084,1.082053818, J,0
407,202091404,1,0.142962664,1939.165072,0.082346495, J,0
408,202091423,1,15.88523771,1941.156466,1.709751719, J,0
409,202091441,1,1.965065925,1940.082815,0.433091869, J,0
410,202091511,1,15.8837241,1941.156487,1.667615569, J,0
411,202091686,1,0.12248008,1939.141691,0.070548526, J,0
412,202091969,1,0.172328875,1939.281151,0.273682262, J,0
413,202092014,1,0.102223724,1939.185416,0.058880865, J,0
414,202092026,1,16.20637158,1943.789449,1.6179026, J,0
415,202092118,1,14.45903417,1941.139793,1.782015332, J,0
416,202092299,1,0.191988605,1939.134082,0.331067078, J,0
417,202092445,1,0.979938044,1939.25504,4.199655625, J,0
418,202092456,1,1.957554099,1940.240426,3.726615781, J,0
419,202092480,1,2.844495418,1939.339481,5.8457429, E,0
420,202092583,1,0.125859562,1939.159169,0.25, J,0
421,202092659,1,0.102077328,1939.156645,0.058796541, J,0
422,202092691,1,0.141641864,1939.17425,0.351061436, J,0
423,202092782,1,13.33579341,1946.494455,2.734513254, J,0
424,202092801,1,0.122704096,1939.198189,0.070677559, J,0
425,202092891,1,0.102048084,1939.146353,0.058779696, J,0
426,202092949,1,12.64214443,1943.058034,1.079301883, J,0
427,202093020,1,4.137587849,1941.310694,1.9225338, C,0
428,202093076,1,11.76487266,1941.129883,1.095176082, J,0
429,202093185,1,5.14718156,1943.801374,1.031431362, J,0
430,202093261,1,15.88404242,1941.157661,1.747119161, J,0
431,202093353,1,2.642332525,1939.820165,3.0555716, E,0
432,202093540,1,0.106592798,1939.118522,0.25, J,0
433,202093549,1,0.781066629,1939.720643,4.276418756, J,0
434,202093639,1,0.160974303,1939.269743,0.500566354, J,0
435,202093662,1,0.150511757,1939.205978,0.604823114, J,0
436,202093803,1,9.306291338,1941.132978,1.066466313, J,0
437,202093833,1,11.76497408,1941.131013,1.190114502, J,0
438,202093900,1,7.926148396,1939.416766,5.9851596, E,0
439,202093903,1,10.33557554,1949.422774,0.539514452, J,0
440,202093968,1,2.470193026,1941.544823,2.9941123, E,0
441,202094021,1,0.102106594,1939.193531,0.058813398, J,0
442,202094058,1,10.33566106,1949.423358,1.018373254, J,0
443,202094076,1,0.172860832,1939.261881,0.684489915, J,0
444,202094114,1,5.141903115,1941.143523,0.49972777, J,0
445,202094117,1,1.634995462,1939.164054,2.8014469, E,0
446,202094121,1,0.102048084,1939.146372,0.058779696, J,0
447,202094188,1,8.482465342,1947.211265,1.312123167, J,0
448,202094222,1,15.88405689,1941.155446,1.870492879, J,0
449,202094300,1,12.76940556,1947.220771,1.892956269, J,0
450,202094401,1,0.192737441,1939.258597,0.648234726, J,0
451,202094535,1,4.909736587,1943.791639,0.911840756, J,0
452,202094556,1,15.66712912,1941.138847,1.784401356, J,0
453,202094649,1,0.199298982,1939.249925,0.797752681, J,0
454,202094669,1,0.103703059,1939.130318,0.25, J,0
455,202094740,1,0.68969474,1939.438141,2.063643, E,0
456,202094823,1,0.43525888,1939.154412,1.282506944, J,0
457,202094935,1,0.102546712,1939.174943,0.25, J,0
458,202094957,1,0.118360768,1939.118082,0.25, J,0
459,202094958,1,10.36336786,1941.136651,1.796685069, J,0
460,202095074,1,0.102077335,1939.161194,0.058796545, J,0
461,202095154,1,6.133771714,1943.529145,0.254861393, J,0
462,202095165,1,0.979937367,1939.250382,4.242173019, J,0
463,202095238,1,0.255623345,1939.267208,1.100497669, J,0
464,202095253,1,9.789996907,1940.687704,1.400444719, J,0
465,202095291,1,10.7900124,1940.633099,1.06455005, J,0
466,202095298,1,2.812544019,1939.439618,4.3019189, E,0
467,202095390,1,5.789564835,1941.150963,1.402725831, J,0
468,202095437,1,5.905730755,1943.740477,0.861938804, J,0
469,202095453,1,0.173037012,1939.152364,0.25, J,0
470,202095483,1,0.102106586,1939.191446,0.058813394, J,0
